https://cardona-zkevm.polygonscan.com/address/0x76a6bb34701516ec1257b30d182bced1a333fee8 Factory
https://cardona-zkevm.polygonscan.com/address/0x944F78712eD84511024bBbca3Be099Df6893Be3c WETH
https://cardona-zkevm.polygonscan.com/address/0xBF838e93082Cc05B61E89C6792f338ECe8590d9c ROUTER
https://cardona-zkevm.polygonscan.com/address/0x470C4C77848c7C2927c2b03256d4b38c95e4EAAb Multicall

0x120D0f5447313514e5DA0A3FdCd60Be730442235 USDT
0xe751e20d336f7bE90D14c84e987Af4A712c48108 USDC
0xa40Eb0638fa439E672f266886D8CdC6Ded67751f TUSD
0x6cBEC9d3123F9976F768634F4f87680524Cc5101 TRX
0xb89BfFe2370512b63f613ca3Fd5D5Ad70538cE93 METALAMP
0xe1986ced537437423837b4Ef6210B51108EA76F1 MAKER
0x7BBfC2E6e6FCAdcad676a1585B669bdC80D43aeB LINK
0xefb2408b7A3Db3594A2ad179d2C08A6Be1E1AE55 GRT
0x7422ab95742858e21b9F6299fF66B24FB2a478FD DAI
0x67385C066C14E3F5FA5Ca4C7755ae13883d09a18 ARB
0x7De9cC01cfF47760D5DECC901Bb783e62c009a68 GALA
0xe0840f693e4fBf888448dAbe00a6d3203F4E67F8 MNT
0x41Fb5b5BA5dc9d0D90c59Fa9123ae0A14eC5A553 SHIB
